name,total,percent,code
Albania,2,0.000730727073438,ALB
Algeria,2,0.000730727073438,DZA
Antigua And Barbuda,3,0.00109609061016,ATG
Argentina,52,0.0189989039094,ARG
Armenia,1,0.000365363536719,ARM
Australia,34,0.0124223602484,AUS
Austria,6,0.00219218122031,AUT
Azerbaijan,3,0.00109609061016,AZE
Bangladesh,3,0.00109609061016,BGD
Belarus,2,0.000730727073438,BLR
Belgium,13,0.00474972597735,BEL
Belize,1,0.000365363536719,BLZ
Bermuda,1,0.000365363536719,BMU
"Bolivia, Plurinational State Of",3,0.00109609061016,BOL
Bosnia And Herzegovina,1,0.000365363536719,BIH
Botswana,1,0.000365363536719,BWA
Brazil,319,0.116550968213,BRA
Bulgaria,2,0.000730727073438,BGR
Burundi,1,0.000365363536719,BDI
Cambodia,1,0.000365363536719,KHM
Cameroon,3,0.00109609061016,CMR
Canada,62,0.0226525392766,CAN
Chile,23,0.00840336134454,CHL
China,26,0.00949945195469,CHN
Colombia,32,0.011691633175,COL
Costa Rica,9,0.00328827183047,CRI
Croatia,1,0.000365363536719,HRV
Cuba,3,0.00109609061016,CUB
Czechia,6,0.00219218122031,CZE
Denmark,5,0.0018268176836,DNK
Dominican Republic,5,0.0018268176836,DOM
Ecuador,21,0.0076726342711,ECU
Egypt,13,0.00474972597735,EGY
El Salvador,5,0.0018268176836,SLV
Ethiopia,1,0.000365363536719,ETH
Fiji,2,0.000730727073438,FJI
Finland,9,0.00328827183047,FIN
France,23,0.00840336134454,FRA
Georgia,3,0.00109609061016,GEO
Germany,63,0.0230179028133,DEU
Ghana,9,0.00328827183047,GHA
Greece,14,0.00511508951407,GRC
Guatemala,13,0.00474972597735,GTM
Guyana,1,0.000365363536719,GUY
Haiti,1,0.000365363536719,HTI
Honduras,6,0.00219218122031,HND
Hong Kong,20,0.00730727073438,HKG
Hungary,9,0.00328827183047,HUN
India,70,0.0255754475703,IND
Indonesia,7,0.00255754475703,IDN
Iraq,2,0.000730727073438,IRQ
Ireland,7,0.00255754475703,IRL
Israel,3,0.00109609061016,ISR
Italy,26,0.00949945195469,ITA
Jamaica,1,0.000365363536719,JAM
Japan,8,0.00292290829375,JPN
Jordan,4,0.00146145414688,JOR
Kazakhstan,1,0.000365363536719,KAZ
Kenya,10,0.00365363536719,KEN
"Korea, Republic Of",11,0.00401899890391,KOR
Kyrgyzstan,1,0.000365363536719,KGZ
Latvia,2,0.000730727073438,LVA
Lebanon,3,0.00109609061016,LBN
Liberia,2,0.000730727073438,LBR
Libya,1,0.000365363536719,LBY
Malawi,5,0.0018268176836,MWI
Malaysia,12,0.00438436244063,MYS
Mexico,81,0.0295944464742,MEX
Mongolia,1,0.000365363536719,MNG
Morocco,3,0.00109609061016,MAR
Philippines,14,0.00511508951407,PHL
Poland,3,0.00109609061016,POL
Tunisia,3,0.00109609061016,TUN
Turkey,7,0.00255754475703,TUR
Uganda,1,0.000365363536719,UGA
Ukraine,30,0.0109609061016,UKR
United Arab Emirates,1,0.000365363536719,ARE
United Kingdom,87,0.0317866276946,GBR
United States,1064,0.388746803069,USA
Uruguay,4,0.00146145414688,URY
"Venezuela, Bolivarian Republic Of",28,0.0102301790281,VEN
Viet Nam,1,0.000365363536719,VNM
Zimbabwe,3,0.00109609061016,ZWE
